epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,25.5616,1.17791,4.60606,2.82156,1.36893,0,0.01142,0.95,0.38576,0.24901,0.01082,0.9,0.37588,0.16912,0.94755,2.93427,2.63468,1.00417,0,0.00014,0.00014,0.00014
2,51.0431,1.01357,3.04203,2.45563,1.24664,0,0.01094,1,0.56762,0.38469,0.01094,1,0.50768,0.29484,0.92686,2.98164,2.54973,1.0042,0,0.00029406,0.00029406,0.00029406
3,72.137,0.96302,2.54388,1.78094,1.19945,0,0.83314,0.49936,0.60696,0.38017,0.83314,0.49936,0.62689,0.3654,0.89259,2.11628,2.37538,0.9593,0,0.000441784,0.000441784,0.000441784
4,92.8845,1.06919,2.62732,1.54039,1.23664,0,0.88774,0.6,0.73443,0.45832,0.88774,0.6,0.73443,0.31076,1.06111,2.48081,1.99719,1.16024,0,0.000583172,0.000583172,0.000583172
5,113.704,1.01134,2.42906,1.29192,1.18878,0,0.76634,0.55,0.6741,0.43246,0.69479,0.5,0.5644,0.27373,1.08612,2.90982,1.77868,1.17879,0,0.000718224,0.000718224,0.000718224
6,195.157,0.98191,2.23509,1.20818,1.14357,0,0.97489,0.65,0.79756,0.54254,0.89989,0.6,0.7036,0.35283,0.94161,2.37371,1.60359,1.03531,0,0.00084694,0.00084694,0.00084694
7,306.975,0.92726,2.24319,1.16087,1.13502,0,0.93995,0.7833,0.85569,0.60592,0.88079,0.73938,0.79833,0.42837,0.92932,2.1622,1.47825,1.00238,0,0.00096932,0.00096932,0.00096932
8,380.935,0.95158,2.06429,1.0942,1.15166,0,0.84455,0.8,0.8603,0.61474,0.72395,0.75,0.71218,0.37857,0.90682,2.42336,1.45785,1.0312,0,0.00108536,0.00108536,0.00108536
9,440.489,0.94488,2.03389,1.1106,1.1633,0,0.70634,0.84215,0.76072,0.57952,0.66598,0.79761,0.61899,0.36796,0.86898,2.4311,1.53449,1.00081,0,0.00119507,0.00119507,0.00119507
10,517.11,0.93558,1.97541,1.04089,1.14126,0,0.71841,0.75,0.77197,0.57541,0.67849,0.8,0.70039,0.4181,0.86671,1.79959,1.4635,1.06193,0,0.00129844,0.00129844,0.00129844
11,548.287,0.91228,2.04353,1.08914,1.15022,0,0.54639,0.7,0.67437,0.49491,0.59856,0.55,0.61833,0.39056,0.90565,1.94315,1.53627,1.07537,0,0.00139548,0.00139548,0.00139548
12,575.627,0.91001,2.09885,1.07782,1.13708,0,0.78814,0.45,0.55309,0.36601,0.69996,0.4,0.46592,0.20789,0.97362,3.6471,1.94486,1.07918,0,0.00148618,0.00148618,0.00148618
13,607.826,0.93079,2.06082,1.04,1.11705,0,0.60144,0.75,0.71622,0.46122,0.52766,0.65,0.60626,0.28517,0.93304,3.32081,1.60099,1.03896,0,0.0015248,0.0015248,0.0015248
14,639.057,0.86293,1.7742,1.00563,1.0879,0,0.77091,0.84161,0.8486,0.58306,0.61345,0.7,0.72838,0.42384,0.90842,2.86609,1.22712,0.96525,0,0.0014852,0.0014852,0.0014852
15,669.29,0.83949,1.66538,1.00644,1.08515,0,0.70758,0.85,0.76263,0.5617,0.74757,0.74076,0.72603,0.3539,0.90663,3.23188,1.22602,0.98645,0,0.0014456,0.0014456,0.0014456
16,690.488,0.88287,1.81816,1.03855,1.13514,0,0.72744,0.85,0.80364,0.56693,0.63468,0.75,0.68931,0.32986,0.91802,3.81362,1.35299,1.00217,0,0.001406,0.001406,0.001406
17,712.972,0.89592,1.94869,0.97008,1.12317,0,0.77807,0.9,0.8759,0.64059,0.69021,0.8,0.69408,0.40495,0.87491,2.96236,1.44308,0.98227,0,0.0013664,0.0013664,0.0013664
18,732.877,0.83941,1.79561,0.92267,1.08651,0,0.72606,0.8,0.83526,0.62895,0.6335,0.7,0.62802,0.39495,0.80545,2.46482,1.57855,0.92916,0,0.0013268,0.0013268,0.0013268
19,758.219,0.83572,1.84793,0.94124,1.10914,0,0.62159,0.85,0.78355,0.61051,0.62159,0.85,0.78355,0.42507,0.71219,2.17647,1.35363,0.86467,0,0.0012872,0.0012872,0.0012872
20,779.217,0.8107,1.67656,0.94474,1.11079,0,0.63974,0.9,0.75572,0.57541,0.63974,0.9,0.75572,0.44891,0.79945,2.19141,1.35788,0.90446,0,0.0012476,0.0012476,0.0012476
21,801.12,0.79977,1.68872,0.91672,1.10469,0,0.77169,0.84523,0.74153,0.56034,0.77169,0.84523,0.70819,0.41321,0.83219,2.39576,1.42459,0.96257,0,0.001208,0.001208,0.001208
22,821.925,0.82707,1.56916,0.89494,1.07393,0,0.64843,0.83043,0.74063,0.50035,0.55263,0.7,0.58994,0.30623,0.98038,4.15666,1.70457,1.0713,0,0.0011684,0.0011684,0.0011684
23,842.457,0.80052,1.66248,0.90819,1.08939,0,0.63577,0.69828,0.69458,0.50665,0.56518,0.65,0.594,0.3094,0.97078,4.00234,1.88913,1.08176,0,0.0011288,0.0011288,0.0011288
24,862.718,0.80469,1.50757,0.87147,1.05704,0,0.68989,0.75,0.75631,0.53315,0.65317,0.7,0.70469,0.3831,0.8893,3.00185,1.76634,1.02342,0,0.0010892,0.0010892,0.0010892
25,884.098,0.79619,1.5257,0.88988,1.07138,0,0.6353,0.8,0.77058,0.55241,0.6353,0.8,0.76174,0.452,0.78804,2.13522,1.46565,0.92058,0,0.0010496,0.0010496,0.0010496
26,910.864,0.75659,1.58873,0.89311,1.04994,0,0.7488,0.9,0.84733,0.67813,0.7488,0.9,0.82349,0.53747,0.73765,1.8228,1.1975,0.91437,0,0.00101,0.00101,0.00101
27,938.157,0.75314,1.41309,0.86309,1.0358,0,0.89151,0.82243,0.90128,0.74112,0.83765,0.77458,0.84837,0.56183,0.72026,1.99631,1.14852,0.9409,0,0.0009704,0.0009704,0.0009704
28,973.623,0.78502,1.50173,0.90699,1.06229,0,1,0.83427,0.92351,0.74376,1,0.83427,0.92639,0.56,0.73873,2.0629,1.02864,0.97458,0,0.0009308,0.0009308,0.0009308
29,1007.12,0.79271,1.79853,0.90848,1.07177,0,0.98977,0.85,0.93928,0.73038,0.98977,0.85,0.93928,0.6004,0.70033,1.82265,0.88917,0.93186,0,0.0008912,0.0008912,0.0008912
30,1034.14,0.74548,1.46596,0.85079,1.0468,0,0.93198,0.9,0.92503,0.73997,0.94523,0.9,0.93555,0.62531,0.6829,1.55414,0.86541,0.89407,0,0.0008516,0.0008516,0.0008516
31,1061.14,0.70484,1.59347,0.83524,1.03373,0,0.8532,0.9,0.90266,0.72484,0.8532,0.9,0.90266,0.6039,0.70029,1.66014,0.8846,0.89139,0,0.000812,0.000812,0.000812
32,1092.15,0.7372,1.44918,0.7448,1.05147,0,0.89335,0.83818,0.90629,0.70128,0.84008,0.78847,0.8538,0.59257,0.73531,1.56223,0.99483,0.9249,0,0.0007724,0.0007724,0.0007724
33,1201.76,0.73901,1.4786,0.82293,1.0463,0,0.94438,0.84909,0.91329,0.70936,0.92302,0.7,0.78771,0.56279,0.80984,1.57429,0.94306,1.00969,0,0.0007328,0.0007328,0.0007328
34,1229.19,0.69311,1.32309,0.74508,1.02148,0,0.99308,0.85,0.9216,0.7242,0.87472,0.75,0.76394,0.58012,0.81775,1.46578,0.91667,1.01961,0,0.0006932,0.0006932,0.0006932
35,1255.36,0.69095,1.347,0.78981,1.0281,0,1,0.89353,0.93285,0.73541,0.93837,0.9,0.88574,0.61504,0.80785,1.31675,0.88636,0.98056,0,0.0006536,0.0006536,0.0006536
36,1280.22,0.72309,1.40627,0.77878,1.02808,0,0.99642,0.9,0.93986,0.75019,0.99642,0.9,0.93986,0.64795,0.78432,1.26382,0.87932,0.93488,0,0.000614,0.000614,0.000614
37,1361.52,0.62731,1.21949,0.74834,0.98567,0,0.93741,0.9,0.9308,0.76642,0.93741,0.9,0.9308,0.67926,0.72374,1.22333,0.89795,0.8712,0,0.0005744,0.0005744,0.0005744
38,1412.12,0.66372,1.29117,0.72221,1.02925,0,0.93945,0.9,0.93148,0.79023,0.93945,0.9,0.93148,0.70788,0.71527,1.16027,0.87838,0.8705,0,0.0005348,0.0005348,0.0005348
39,1438.37,0.68379,1.24823,0.7472,1.01311,0,0.99195,0.9,0.94882,0.7969,0.99195,0.9,0.94882,0.74361,0.71197,1.1269,0.83669,0.86336,0,0.0004952,0.0004952,0.0004952
40,1465.18,0.65355,1.36233,0.72772,1.02557,0,0.94114,0.9,0.94388,0.79219,0.94114,0.9,0.94388,0.73515,0.70641,1.11625,0.81983,0.86632,0,0.0004556,0.0004556,0.0004556
41,1493.12,0.65397,1.08228,0.98918,1.03937,0,0.93482,0.9,0.90105,0.76105,0.93482,0.9,0.90105,0.70866,0.69051,1.1684,0.80421,0.86752,0,0.000416,0.000416,0.000416
42,1519.27,0.682,1.16319,0.9577,1.0126,0,0.94202,0.9,0.91866,0.77085,0.94202,0.9,0.91866,0.71769,0.70773,1.18512,0.8262,0.87653,0,0.0003764,0.0003764,0.0003764
43,1545.82,0.64515,1.1535,0.86993,1.01419,0,0.89356,0.9,0.89541,0.74445,0.89356,0.9,0.89541,0.70259,0.73268,1.18333,0.85029,0.87992,0,0.0003368,0.0003368,0.0003368
44,1573.13,0.58893,1.07756,0.77247,0.95936,0,0.89571,0.9,0.89385,0.75221,0.89571,0.9,0.88234,0.67661,0.70729,1.13659,0.87625,0.85947,0,0.0002972,0.0002972,0.0002972
45,1599.99,0.59896,1.27652,0.8013,1.00331,0,0.89505,0.9,0.89255,0.7637,0.89505,0.9,0.87755,0.681,0.67268,1.08757,0.89807,0.84009,0,0.0002576,0.0002576,0.0002576
46,1653.55,0.56108,1.04566,0.75986,0.95038,0,0.94705,0.89456,0.94255,0.79723,0.94705,0.89456,0.92149,0.73647,0.65277,1.04127,0.92499,0.83348,0,0.000218,0.000218,0.000218
47,1680.98,0.57421,0.91269,0.74599,0.96409,0,0.88621,0.95,0.93151,0.74904,0.88621,0.95,0.93151,0.73885,0.62772,1.04983,0.9335,0.82567,0,0.0001784,0.0001784,0.0001784
48,1708.67,0.58205,0.94335,0.73655,0.99653,0,0.85253,0.9,0.90986,0.75539,0.85253,0.9,0.90986,0.72498,0.60431,1.05191,0.93096,0.81681,0,0.0001388,0.0001388,0.0001388
49,1734.51,0.55659,0.95167,0.69898,0.93217,0,0.8527,0.9,0.93312,0.78253,0.8527,0.9,0.91641,0.72525,0.5934,1.02024,0.93622,0.80901,0,9.92e-05,9.92e-05,9.92e-05
50,1771.78,0.5038,0.91127,0.67568,0.92266,0,0.89418,0.9,0.95351,0.7914,0.89418,0.9,0.95351,0.74289,0.58211,1.02063,0.92604,0.80381,0,5.96e-05,5.96e-05,5.96e-05
